Comment,Designator,Footprint,LCSC
1uF,"C15,C16,C3,C4",C_0402_1005Metric,C14445
100nF,"C10,C11,C12,C13,C14,C17,C6,C7,C8,C9",C_0402_1005Metric,C1525
RP2040,U4,RP2040-QFN-56,C2040
SW_Push,SW1,KXT321LHS,C221821
1k,R1,R_0402_1005Metric,C25543
CSTNE12M0G520000R0,Y2,OSC_CSTNE12M0G520000R0,C2650803
"EverlightSMD,1.3x3.2","D92,D93,D94","EverlightSMD,1.3x3.2",C414638
100nF,C5,C_0402_1005Metric,C52923
XC6206PxxxMR,U1,SOT-23,C5446
SRV05-4,U3,SOT-23-6-routable,C558418
Conn_01x04,J3,Molex_Pico-EZmate_78171-0004_1x04-1MP_P1.20mm_Vertical,C588524
500mA,F2,Fuse_1206_3216Metric,C70076
D_Small,"D1,D10,D11,D12,D13,D14,D15,D16,D17,D18,D19,D2,D20,D21,D22,D23,D24,D25,D26,D27,D28,D29,D3,D30,D31,D32,D33,D34,D35,D36,D37,D38,D39,D4,D40,D41,D42,D43,D44,D45,D46,D47,D48,D49,D5,D50,D51,D52,D53,D54,D55,D56,D57,D58,D59,D6,D60,D61,D62,D63,D64,D65,D66,D67,D68,D69,D7,D70,D71,D72,D73,D74,D75,D76,D77,D78,D79,D8,D80,D81,D82,D83,D84,D85,D86,D87,D88,D89,D9,D90,D91",D_SOD-123,C81598
MX_SW_solder,SW2,SW_MX_1u,
P,SW56,SW_MX_1u,
C,SW33,SW_MX_1u,
MX_SW_solder,SW4,SW_MX_1u,
K,SW49,SW_MX_1u,
SPLIT N-ENTER,SW78,SW_MX_1u,
RALT,SW63,SW_MX_1.5u,
9,SW51,SW_MX_1u,
O,SW52,SW_MX_1u,
MX_SW_solder,SW7,SW_MX_1u,
PIPE,SW70,SW_MX_1.5u,
4,SW30,SW_MX_1u,
V,SW37,SW_MX_1u,
N6,SW81,SW_MX_1u,
CAPS,SW14,SW_MX_1.75u,
R,SW31,SW_MX_1u,
Y,SW40,SW_MX_1u,
MX_SW_solder,SW6,SW_MX_1u,
N4,SW93,SW_MX_1u,
A,SW19,SW_MX_1u,
~{RSFT},SW92,SW_MX_1.75u,
Q,SW18,SW_MX_1u,
>,SW58,SW_MX_1u,
MX_SW_solder,SW3,SW_MX_1u,
SPLIT N0,SW83,SW_MX_1u,
H,SW41,SW_MX_1u,
LCTL,SW16,SW_MX_1.5u,
J,SW45,SW_MX_1u,
U,SW44,SW_MX_1u,
S,SW24,SW_MX_1u,
T,SW35,SW_MX_1u,
MX_SW_solder,SW10,SW_MX_1u,
I,SW48,SW_MX_1u,
RSFT,SW68,SW_MX_1u,
N-,SW84,SW_MX_1u,
N2,SW77,SW_MX_1u,
DIVIDE,SW74,SW_MX_1u,
SPLIT N+,SW86,SW_MX_1u,
N8,SW75,SW_MX_1u,
<,SW54,SW_MX_1u,
M,SW50,SW_MX_1u,
B,SW42,SW_MX_1u,
D,SW28,SW_MX_1u,
W,SW23,SW_MX_1u,
MX_SW_solder,SW38,SW_MX_1u,
~{LSFT},SW20,SW_MX_1u,
8,SW47,SW_MX_1u,
RCTL,SW73,SW_MX_1.5u,
N-ENTER,SW87,SW_MX_1u,
ESC,SW12,SW_MX_1u,
?,SW62,SW_MX_1u,
2,SW22,SW_MX_1u,
~{CAPS},SW89,SW_MX_1.25u,
N5,SW76,SW_MX_1u,
LALT,SW21,SW_MX_1.5u,
N3,SW82,SW_MX_1u,
N7,SW91,SW_MX_1u,
},SW65,SW_MX_1u,
~{BSP|\},SW69,SW_MX_1u,
5,SW34,SW_MX_1u,
MULT,SW79,SW_MX_1u,
{,SW60,SW_MX_1u,
LSFT,SW15,SW_MX_1u,
6,SW39,SW_MX_1u,
NLCK,SW67,SW_MX_1u,
~{FN},SW72,SW_MX_1u,
E,SW27,SW_MX_1u,
~{N-ENTER},SW95,SW_MX_1u,
MX_SW_solder,SW5,SW_MX_1u,
N9,SW80,SW_MX_1u,
~{N+},SW94,SW_MX_1u,
3,SW26,SW_MX_1u,
N,SW46,SW_MX_1u,
"""",SW61,SW_MX_1u,
MX_SW_solder,SW11,SW_MX_1u,
7,SW43,SW_MX_1u,
N+,SW85,SW_MX_1u,
L,SW53,SW_MX_1u,
F,SW32,SW_MX_1u,
G,SW36,SW_MX_1u,
ENTER,SW71,SW_MX_1u,
+,SW64,SW_MX_1u,
N.,SW88,SW_MX_1u,
X,SW29,SW_MX_1u,
1,SW17,SW_MX_1u,
0,SW55,SW_MX_1u,
Z,SW25,SW_MX_1u,
MX_SW_solder,SW9,SW_MX_1u,
:,SW57,SW_MX_1u,
-,SW59,SW_MX_1u,
MX_SW_solder,SW8,SW_MX_1u,
TAB,SW13,SW_MX_1.5u,
SPLITLSFT,SW90,SW_MX_1.25u,
BSPACE,SW66,SW_MX_1u,
27R,R4,R_0402_1005Metric,
Conn_01x05,J2,PinHeader_1x05_P2.54mm_Vertical,
1K,R7,R_0402_1005Metric,
10K,R6,R_0402_1005Metric,
27R,R5,R_0402_1005Metric,
MountingHole,H5,Tadpole Pin,
MountingHole,H2,Tadpole Pin,
N0,SW97,SW_MX_1u,
MountingHole,H7,Tadpole Pin,
MountingHole,H10,Tadpole Pin,
MountingHole,H11,Tadpole Pin,
MountingHole,H3,Tadpole Pin,
MountingHole,H8,Tadpole Pin,
MountingHole,H9,Tadpole Pin,
MountingHole,H14,Tadpole Pin,
MountingHole,H1,Tadpole Pin,
N1,SW96,SW_MX_1u,
MountingHole,H13,Tadpole Pin,
MountingHole,H4,Tadpole Pin,
~{N0},SW98,SW_MX_1u,
MountingHole,H12,Tadpole Pin,
MountingHole,H6,Tadpole Pin,
~{BSPACE},SW99,SW_MX_1u,
175R,R2,R_0402_1005Metric,
175R,R3,R_0402_1005Metric,
175R,R8,R_0402_1005Metric,
MX_stab,S9,STAB_MX_P_2u,
MX_stab,S8,STAB_MX_P_2u,
MX_stab,S7,STAB_MX_P_2u,
MX_stab,S6,STAB_MX_P_2.75u,
MX_stab,S5,STAB_MX_P_2.25u,
MX_stab,S4,STAB_MX_P_2u,
MX_stab,S3,STAB_MX_P_2.25u,
MX_stab,S1,STAB_MX_P_7u,
W25Q32JVSS,U5,W25Q16FWUXIE,
