Designator,Footprint,Quantity,Value,LCSC Part #
"C10, C11, C12, C13, C14, C17, C5, C6, C7, C8, C9",0402,11,100nF,C1525
"C15, C16, C3, C4",0402,4,1uF,
"D1, D10, D11, D12, D13, D14, D15, D16, D17, D18, D19, D2, D20, D21, D22, D23, D24, D25, D26, D27, D28, D29, D3, D30, D31, D32, D33, D34, D35, D36, D37, D38, D39, D4, D40, D41, D42, D43, D44, D45, D46, D47, D48, D49, D5, D50, D51, D52, D53, D54, D55, D56, D57, D58, D59, D6, D60, D61, D62, D63, D64, D65, D66, D67, D68, D69, D7, D70, D71, D72, D73, D74, D75, D76, D77, D78, D79, D8, D80, D81, D82, D83, D84, D85, D86, D87, D88, D89, D9, D90, D91",D_SOD-123,91,D_Small,
"D92, D93, D94","EverlightSMD,1.3x3.2",3,"EverlightSMD,1.3x3.2",
F2,1206,1,500mA,
"H1, H10, H11, H12, H13, H14, H2, H3, H4, H5, H6, H7, H8, H9",Tadpole Pin,14,MountingHole,
J2,PinHeader_1x05_P2.54mm_Vertical,1,Conn_01x05,
J3,Molex_Pico-EZmate_78171-0004_1x04-1MP_P1.20mm_Vertical,1,Conn_01x04,
"R1, R7",0402,2,1k,
"R2, R3, R8",0402,3,175R,
"R4, R5",0402,2,27R,
R6,0402,1,10K,
S1,STAB_MX_P_7u,1,MX_stab,
"S3, S4, S5, S6, S7, S8, S9",STAB_MX_P_2u,7,MX_stab,
SW1,KXT321LHS,1,SW_Push,
"SW10, SW11, SW2, SW3, SW38, SW4, SW5, SW6, SW7, SW8, SW9",SW_MX_1u,11,MX_SW_solder,
SW12,SW_MX_1u,1,ESC,
SW13,SW_MX_1.5u,1,TAB,
SW14,SW_MX_1.75u,1,CAPS,
SW15,SW_MX_1u,1,LSFT,
SW16,SW_MX_1.5u,1,LCTL,
SW17,SW_MX_1u,1,1,
SW18,SW_MX_1u,1,Q,
SW19,SW_MX_1u,1,A,
SW20,SW_MX_1u,1,~{LSFT},
SW21,SW_MX_1.5u,1,LALT,
SW22,SW_MX_1u,1,2,
SW23,SW_MX_1u,1,W,
SW24,SW_MX_1u,1,S,
SW25,SW_MX_1u,1,Z,
SW26,SW_MX_1u,1,3,
SW27,SW_MX_1u,1,E,
SW28,SW_MX_1u,1,D,
SW29,SW_MX_1u,1,X,
SW30,SW_MX_1u,1,4,
SW31,SW_MX_1u,1,R,
SW32,SW_MX_1u,1,F,
SW33,SW_MX_1u,1,C,
SW34,SW_MX_1u,1,5,
SW35,SW_MX_1u,1,T,
SW36,SW_MX_1u,1,G,
SW37,SW_MX_1u,1,V,
SW39,SW_MX_1u,1,6,
SW40,SW_MX_1u,1,Y,
SW41,SW_MX_1u,1,H,
SW42,SW_MX_1u,1,B,
SW43,SW_MX_1u,1,7,
SW44,SW_MX_1u,1,U,
SW45,SW_MX_1u,1,J,
SW46,SW_MX_1u,1,N,
SW47,SW_MX_1u,1,8,
SW48,SW_MX_1u,1,I,
SW49,SW_MX_1u,1,K,
SW50,SW_MX_1u,1,M,
SW51,SW_MX_1u,1,9,
SW52,SW_MX_1u,1,O,
SW53,SW_MX_1u,1,L,
SW54,SW_MX_1u,1,<,
SW55,SW_MX_1u,1,0,
SW56,SW_MX_1u,1,P,
SW57,SW_MX_1u,1,:,
SW58,SW_MX_1u,1,>,
SW59,SW_MX_1u,1,-,
SW60,SW_MX_1u,1,{,
SW61,SW_MX_1u,1,"""",
SW62,SW_MX_1u,1,?,
SW63,SW_MX_1.5u,1,RALT,
SW64,SW_MX_1u,1,+,
SW65,SW_MX_1u,1,},
SW66,SW_MX_1u,1,BSPACE,
SW67,SW_MX_1u,1,NLCK,
SW68,SW_MX_1u,1,RSFT,
SW69,SW_MX_1u,1,~{BSP|\},
SW70,SW_MX_1.5u,1,PIPE,
SW71,SW_MX_1u,1,ENTER,
SW72,SW_MX_1u,1,~{FN},
SW73,SW_MX_1.5u,1,RCTL,
SW74,SW_MX_1u,1,DIVIDE,
SW75,SW_MX_1u,1,N8,
SW76,SW_MX_1u,1,N5,
SW77,SW_MX_1u,1,N2,
SW78,SW_MX_1u,1,SPLIT N-ENTER,
SW79,SW_MX_1u,1,MULT,
SW80,SW_MX_1u,1,N9,
SW81,SW_MX_1u,1,N6,
SW82,SW_MX_1u,1,N3,
SW83,SW_MX_1u,1,SPLIT N0,
SW84,SW_MX_1u,1,N-,
SW85,SW_MX_1u,1,N+,
SW86,SW_MX_1u,1,SPLIT N+,
SW87,SW_MX_1u,1,N-ENTER,
SW88,SW_MX_1u,1,N.,
SW89,SW_MX_1.25u,1,~{CAPS},
SW90,SW_MX_1.25u,1,SPLITLSFT,
SW91,SW_MX_1u,1,N7,
SW92,SW_MX_1.75u,1,~{RSFT},
SW93,SW_MX_1u,1,N4,
SW94,SW_MX_1u,1,~{N+},
SW95,SW_MX_1u,1,~{N-ENTER},
SW96,SW_MX_1u,1,N1,
SW97,SW_MX_1u,1,N0,
SW98,SW_MX_1u,1,~{N0},
SW99,SW_MX_1u,1,~{BSPACE},
U1,SOT-23,1,XC6206PxxxMR,
U3,SOT-23-6-routable,1,SRV05-4,
U4,RP2040-QFN-56,1,RP2040,
U5,W25Q16FWUXIE,1,W25Q32JVSS,
Y2,OSC_CSTNE12M0G520000R0,1,CSTNE12M0G520000R0,
